"Sample","Individual"
"US82900153_252489110075_S01_GE2_105_Jan09","DAV320407"
"US82900153_252489110076_S01_GE2_105_Jan09","DHE321214"
"US82900153_252489110077_S01_GE2_105_Jan09","DHE321214"
"US82900153_252489110078_S01_GE2_105_Jan09","MAR240911"
"US82900153_252489110079_S01_GE2_105_Jan09","MAR240911"
"US82900153_252489110080_S01_GE2_105_Jan09","WIS320823"
"US82900153_252489110081_S01_GE2_105_Jan09","WIS320823"
"US82900153_252489110082_S01_GE2_105_Jan09","CRE420423"
"US82900153_252489110083_S01_GE2_105_Jan09","CRE420423"
"US82900153_252489110086_S01_GE2_105_Jan09","FRO440806"
"US82900153_252489110087_S01_GE2_105_Jan09","FRO440806"
"US82900153_252489110088_S01_GE2_105_Jan09","GEO270114"
"US82900153_252489110089_S01_GE2_105_Jan09","DEW440406"
"US82900153_252489110090_S01_GE2_105_Jan09","DEW440406"
"US82900153_252489110091_S01_GE2_105_Jan09","RIT490630"
"US82900153_252489110092_S01_GE2_105_Jan09","RIT490630"
"US82900153_252489110093_S01_GE2_105_Jan09","MAT230414"
"US82900153_252489110094_S01_GE2_105_Jan09","BRO521127"
"US82900153_252489110095_S01_GE2_105_Jan09","TAI320613"
"US82900153_252489110096_S01_GE2_105_Jan09","TAI320613"
"US82900153_252489110097_S01_GE2_105_Jan09","FIL381013"
"US82900153_252489110098_S01_GE2_105_Jan09","FIL381013"
"US82900153_252489110099_S01_GE2_105_Jan09","BAS260512"
"US82900153_252489110100_S01_GE2_105_Jan09","ELB330728"
"US82900153_252489110101_S01_GE2_105_Jan09","NEG410311"
"US82900153_252489110102_S01_GE2_105_Jan09","NEG410311"
"US82900153_252489110103_S01_GE2_105_Jan09","GOE191205"
"US82900153_252489110104_S01_GE2_105_Jan09","GOE191205"
"US82900153_252489110105_S01_GE2_105_Jan09","FLA490711"
"US82900153_252489110106_S01_GE2_105_Jan09","MAR430726"
"US82900153_252489110107_S01_GE2_105_Jan09","LAN510426"
"US82900153_252489110108_S01_GE2_105_Jan09","LAN041130"
"US82900153_252489110109_S01_GE2_105_Jan09","KEI431016"
"US82900153_252489110110_S01_GE2_105_Jan09","GEO270114"
"US82900153_252489110111_S01_GE2_105_Jan09","YOT471216"
"US82900153_252489110112_S01_GE2_105_Jan09","AZE450213"
"US82900153_252489110113_S01_GE2_105_Jan09","JAY440311"
"US82900153_252489110114_S01_GE2_105_Jan09","JAY440311"
"US82900153_252489110115_S01_GE2_105_Jan09","BOU291129"
"US82900153_252489110116_S01_GE2_105_Jan09","PAN390607"
"US82900153_252489110117_S01_GE2_105_Jan09","DES580418"
"US82900153_252489110118_S01_GE2_105_Jan09","DES580418"
"US82900153_252489110119_S01_GE2_105_Jan09","FER461230"
"US82900153_252489110120_S01_GE2_105_Jan09","THU220630"
"US82900153_252489110121_S01_GE2_105_Jan09","CHA470718"
"US82900153_252489110122_S01_GE2_105_Jan09","THU220630"
"US82900153_252489110123_S01_GE2_105_Jan09","GIL230901"
"US82900153_252489110124_S01_GE2_105_Jan09","GIL230901"
"US82900153_252489110125_S01_GE2_105_Jan09","SAU450710"
"US82900153_252489110126_S01_GE2_105_Jan09","SAU450710"
"US82900153_252489110129_S01_GE2_105_Jan09","ELB330728"
"US82900153_252489110130_S01_GE2_105_Jan09","LER460716"
"US82900153_252489110131_S01_GE2_105_Jan09","BIE410219"
"US82900153_252489110132_S01_GE2_105_Jan09","LEM351012"
"US82900153_252489110144_S01_GE2_105_Jan09","LEF341111"
"US82900153_252489110145_S01_GE2_105_Jan09","BEM291129"
"US82900153_252489110146_S01_GE2_105_Jan09","HAM640729"
"US82900153_252489110147_S01_GE2_105_Jan09","HAM640729"
"US82900153_252489110148_S01_GE2_105_Jan09","LER460716"
"US82900153_252489110149_S01_GE2_105_Jan09","HOU501106"
"US82900153_252489110150_S01_GE2_105_Jan09","DUV330713"
"US82900153_252489110151_S01_GE2_105_Jan09","NIN270409"
"US82900153_252489110154_S01_GE2_105_Jan09","BOU520111"
"US82900153_252489110155_S01_GE2_105_Jan09","AVI260916"
"US82900153_252489110156_S01_GE2_105_Jan09","AVI260916"
"US82900153_252489110157_S01_GE2_105_Jan09","RIT431108"
"US82900153_252489110158_S01_GE2_105_Jan09","RIT431108"
"US82900153_252489110159_S01_GE2_105_Jan09","FER461230"
"US82900153_252489110160_S01_GE2_105_Jan09","KEI431016"
"US82900153_252489110161_S01_GE2_105_Jan09","NIN270409"
"US82900153_252489110162_S01_GE2_105_Jan09","LAM380228"
"US82900153_252489110163_S01_GE2_105_Jan09","EDO300812"
"US82900153_252489110164_S01_GE2_105_Jan09","EDO300812"
"US82900153_252489110165_S01_GE2_105_Jan09","GOM450227"
"US82900153_252489110166_S01_GE2_105_Jan09","PER401217"
"US82900153_252489110167_S01_GE2_105_Jan09","PER401217"
"US82900153_252489110169_S01_GE2_105_Jan09","BAS260512"
"US82900153_252489110170_S01_GE2_105_Jan09","BEN480707"
"US82900153_252489110173_S01_GE2_105_Jan09","HAR331217"
"US82900153_252489110174_S01_GE2_105_Jan09","HAR331217"
"US82900153_252489110175_S01_GE2_105_Jan09","BEN410529"
"US82900153_252489110176_S01_GE2_105_Jan09","BEN410529"
"US82900153_252489110177_S01_GE2_105_Jan09","DOM590729"
"US82900153_252489110178_S01_GE2_105_Jan09","DOM590729"
"US82900153_252489110179_S01_GE2_105_Jan09","AGG600716"
"US82900153_252489110180_S01_GE2_105_Jan09","AGG600716"
"US82900153_252489110181_S01_GE2_105_Jan09","ZIT420630"
"US82900153_252489110182_S01_GE2_105_Jan09","ZIT420630"
"US82900153_252489110183_S01_GE2_105_Jan09","MAR430726"
"US82900153_252489110184_S01_GE2_105_Jan09","LAM380228"
"US82900153_252489110185_S01_GE2_105_Jan09","BIR340728"
"US82900153_252489110186_S01_GE2_105_Jan09","BIR340728"
"US82900153_252489110188_S01_GE2_105_Jan09","LEM351012"
"US82900153_252489110189_S01_GE2_105_Jan09","GAR450819"
"US82900153_252489110190_S01_GE2_105_Jan09","GAR450819"
"US82900153_252489110191_S01_GE2_105_Jan09","CHA470718"
"US82900153_252489110192_S01_GE2_105_Jan09","SER300810"
"US82900153_252489110193_S01_GE2_105_Jan09","SER300810"
"US82900153_252489110194_S01_GE2_105_Jan09","VIL310309"
"US82900153_252489110195_S01_GE2_105_Jan09","VIL310309"
"US82900153_252489110196_S01_GE2_105_Jan09","VAL271009"
"US82900153_252489110197_S01_GE2_105_Jan09","VAL271009"
"US82900153_252489110198_S01_GE2_105_Jan09","SIK471101"
"US82900153_252489110221_S01_GE2_105_Jan09","BIE410219"
"US82900153_252489110222_S01_GE2_105_Jan09","TAT400901"
"US82900153_252489110223_S01_GE2_105_Jan09","TAT400901"
"US82900153_252489110224_S01_GE2_105_Jan09","MAR470322"
"US82900153_252489110225_S01_GE2_105_Jan09","MAR470322"
"US82900153_252489110226_S01_GE2_105_Jan09","LEF320516"
"US82900153_252489110227_S01_GE2_105_Jan09","LEF320516"
"US82900153_252489110228_S01_GE2_105_Jan09","LEP560531"
"US82900153_252489110229_S01_GE2_105_Jan09","LEP560531"
"US82900153_252489110230_S01_GE2_105_Jan09","KRA420928"
"US82900153_252489110231_S01_GE2_105_Jan09","KRA420928"
"US82900153_252489110232_S01_GE2_105_Jan09","FLA490711"
"US82900153_252489110233_S01_GE2_105_Jan09","FER471031"
"US82900153_252489110234_S01_GE2_105_Jan09","FER471031"
"US82900153_252489110235_S01_GE2_105_Jan09","BAR331123"
"US82900153_252489110236_S01_GE2_105_Jan09","BAR331123"
"US82900153_252489110237_S01_GE2_105_Jan09","REJ471005"
"US82900153_252489110238_S01_GE2_105_Jan09","REJ471005"
"US82900153_252489110239_S01_GE2_105_Jan09","ECU520713"
"US82900153_252489110240_S01_GE2_105_Jan09","BEN480707"
"US82900153_252489110241_S01_GE2_105_Jan09","GAN350811"
"US82900153_252489110242_S01_GE2_105_Jan09","GAN350811"
"US82900153_252489110243_S01_GE2_105_Jan09","DAM200413"
"US82900153_252489110244_S01_GE2_105_Jan09","COU420201"
"US82900153_252489110245_S01_GE2_105_Jan09","COU420201"
"US82900153_252489110246_S01_GE2_105_Jan09","FOR440321"
"US82900153_252489110247_S01_GE2_105_Jan09","FOR440321"
"US82900153_252489110248_S01_GE2_105_Jan09","TIL420228"
"US82900153_252489110249_S01_GE2_105_Jan09","TIL420228"
"US82900153_252489110250_S01_GE2_105_Jan09","DEP351121"
"US82900153_252489110251_S01_GE2_105_Jan09","DEP351121"
"US82900153_252489110252_S01_GE2_105_Jan09","ELA540809"
"US82900153_252489110253_S01_GE2_105_Jan09","FOR410727"
"US82900153_252489110254_S01_GE2_105_Jan09","REC590707"
"US82900153_252489110255_S01_GE2_105_Jan09","REC590707"
"US82900153_252489110256_S01_GE2_105_Jan09","BER520430"
"US82900153_252489110257_S01_GE2_105_Jan09","DUV330713"
"US82900153_252489110260_S01_GE2_105_Jan09","KON381027"
"US82900153_252489110261_S01_GE2_105_Jan09","KON381027"
"US82900153_252489110262_S01_GE2_105_Jan09","GRY470526"
"US82900153_252489110263_S01_GE2_105_Jan09","CHA571008"
"US82900153_252489110264_S01_GE2_105_Jan09","MAC381220"
"US82900153_252489110265_S01_GE2_105_Jan09","GEF541216"
"US82900153_252489110266_S01_GE2_105_Jan09","GEF541216"
"US82900153_252489110267_S01_GE2_105_Jan09","LEN371015"
"US82900153_252489110268_S01_GE2_105_Jan09","LEN371015"
"US82900153_252489110269_S01_GE2_105_Jan09","ISA300917"
"US82900153_252489110270_S01_GE2_105_Jan09","ISA300917"
"US82900153_252489110272_S01_GE2_105_Jan09","SUT470608"
"US82900153_252489110273_S01_GE2_105_Jan09","SUT470608"
"US82900153_252489110274_S01_GE2_105_Jan09","GUI200304"
"US82900153_252489110275_S01_GE2_105_Jan09","BOU520111"
"US82900153_252489110276_S01_GE2_105_Jan09","MAR350507"
"US82900153_252489110277_S01_GE2_105_Jan09","GRO250108"
"US82900153_252489110278_S01_GE2_105_Jan09","GRO250108"
"US82900153_252489110279_S01_GE2_105_Jan09","PEC481113"
"US82900153_252489110280_S01_GE2_105_Jan09","PEC481113"
"US82900153_252489110281_S01_GE2_105_Jan09","BAS260724"
"US82900153_252489110282_S01_GE2_105_Jan09","BAS260724"
"US82900153_252489110283_S01_GE2_105_Jan09","IGL380217"
"US82900153_252489110284_S01_GE2_105_Jan09","IGL380217"
"US82900153_252489110285_S01_GE2_105_Jan09","MER490318"
"US82900153_252489110286_S01_GE2_105_Jan09","MER490318"
"US82900153_252489110287_S01_GE2_105_Jan09","LEF341111"
"US82900153_252489110288_S01_GE2_105_Jan09","MAC460101"
"US82900153_252489110289_S01_GE2_105_Jan09","MAC460101"
"US82900153_252489110290_S01_GE2_105_Jan09","GUI390806"
"US82900153_252489110291_S01_GE2_105_Jan09","GUI390806"
"US82900153_252489110292_S01_GE2_105_Jan09","GID490224"
"US82900153_252489110293_S01_GE2_105_Jan09","GID490224"
"US82900153_252489110296_S01_GE2_105_Jan09","CHA280524"
"US82900153_252489110297_S01_GE2_105_Jan09","CHA280524"
"US82900153_252489110309_S01_GE2_105_Jan09","MAC381220"
"US82900153_252489110310_S01_GE2_105_Jan09","CHE511225"
"US82900153_252489110311_S01_GE2_105_Jan09","CHE511225"
"US82900153_252489110312_S01_GE2_105_Jan09","DAM200413"
"US82900153_252489110313_S01_GE2_105_Jan09","LAN041130"
